Day,Type,Category,Tag Line,Question Number,Select,Question,Answer,More
,,,,16,,Colour group containing Regent Street on the UK Monopoly board,green,"Regent Street is a green property, alongside Oxford Street and Bond Street."
,,,,17,Y,Colour group containing Oxford Street on the UK Monopoly board,green,Oxford Street sits in the green group with Regent Street and Bond Street.
,,,,18,,Colour group containing Bond Street on the UK Monopoly board,green,Bond Street completes the green group with Regent Street and Oxford Street.
,,,,19,,Colour group containing Park Lane on the UK Monopoly board,blue,"Park Lane is a dark blue property, paired only with Mayfair."
,,,,20,,"Colour group containing Mayfair, the board's priciest property",blue,"Mayfair is the dark blue group's priciest property, paired with Park Lane."
330,colour,Birthstones by Month,drag colours to answer each clue,1,Y,"Colour of January's birthstone, garnet, most commonly",red,"Garnet, January's birthstone, is most commonly deep red."
,,,,2,Y,"Colour of February's birthstone, amethyst",purple,"Amethyst, February's birthstone, is a purple quartz."
,,,,3,,"Colour of May's birthstone, emerald, prized for its rich shade",green,"Emerald, May's birthstone, is prized for its rich green colour."
,,,,4,,"Colour of September's birthstone, sapphire, classically",blue,"Sapphire, September's birthstone, is classically deep blue."
,,,,5,,"Colour of March's birthstone, aquamarine",blue,"Aquamarine, March's birthstone, is a pale blue-green gem."
,,,,6,,"Colour of July's birthstone, ruby, famed for its vivid shade",red,"Ruby, July's birthstone, is famous for its vivid red colour."
,,,,7,,"Colour of citrine, one of November's two official birthstones",yellow,"Citrine, one of November's birthstones, is a yellow quartz."
,,,,8,,"Colour of tanzanite, one of December's official birthstones",blue,"Tanzanite, one of December's birthstones, is a deep blue-violet gem."
,,,,9,Y,"Colour of peridot, August's official birthstone",green,"Peridot, August's birthstone, has a distinctive olive-green colour."
,,,,10,,"Colour alexandrite, one of June's birthstones, shows in daylight",green,"Alexandrite, one of June's birthstones, appears green in daylight."
,,,,11,Y,Colour of a popular October tourmaline birthstone shade,pink,Pink tourmaline is one of October's two official birthstones.
,,,,12,,Rarest natural colour grade of April's diamond birthstone,yellow,Fancy yellow is one of the rarer natural diamond colour grades.
,,,,13,Y,"Colour of the most common onyx variety, an alternative birthstone",black,Black onyx is a popular dark gemstone alternative for several months.
,,,,14,,"Colour of the most popular topaz variety, an alternative December birthstone",blue,Blue topaz is a widely used alternative December birthstone.
,,,,15,,"Colour of tsavorite, a rare and valuable January birthstone variety",green,Tsavorite and demantoid are rare green garnet varieties.
,,,,16,,"Colour of a prized sapphire variety, alongside the classic blue kind",pink,"Sapphires occur in many colours, with pink being especially prized."
,,,,17,,"Colour of a rare, collectible sapphire variety, beyond the classic blue kind",purple,"Purple sapphire is a rarer, highly collectible sapphire colour."
,,,,18,,"Colour of padparadscha, a rare and prized sapphire variety",orange,Padparadscha sapphires show a distinctive pinkish-orange colour.
,,,,19,,"Colour of the most common spinel variety, a modern alternative birthstone",black,Black spinel is used as a modern alternative gemstone for several months.
,,,,20,Y,"Colour of spessartine, a fiery orange garnet variety prized by collectors",orange,"Spessartine, sometimes called mandarin garnet, is a vivid orange gemstone."
331,colour,Cricket Kit Colours (ODI),drag colours to answer each clue,1,Y,"India's ODI cricket kit colour, earning them a nickname",blue,"India's ODI kit is blue, earning them the nickname Men in Blue."
,,,,2,,"Australia's ODI cricket kit colour, alongside green trim",yellow,"Australia's ODI kit is yellow and green, reflecting their national colours."
,,,,3,,"Pakistan's ODI cricket kit colour, matching their national flag",green,"Pakistan's ODI kit is a dark green, matching their national flag."
,,,,4,,"England's ODI cricket kit colour, distinct from their Test whites",blue,"England's ODI kit is navy blue, distinct from their white Test whites."
,,,,5,,"South Africa's ODI cricket kit colour, alongside gold",green,"South Africa's ODI kit is green, giving them their Proteas nickname."
,,,,6,,"New Zealand's cricket kit colour, giving them a team nickname",black,"New Zealand's cricket team, the Black Caps, wear black in ODIs."
,,,,7,,"Sri Lanka's ODI cricket kit colour, most predominantly",blue,Sri Lanka's ODI kit is predominantly blue.
,,,,8,Y,"Bangladesh's ODI cricket kit colour, echoing their flag",green,"Bangladesh's ODI kit is green, echoing their national flag."
,,,,9,,"Afghanistan's ODI cricket kit colour, worn by their national team",blue,Afghanistan's cricket team wear blue in One Day Internationals.
,,,,10,,"Ireland's ODI cricket kit colour, matching their national flag",green,"Ireland's cricket team wear green in ODIs, matching their flag."
,,,,11,,Colour of a cricket ball used in traditional Test matches,red,"Test cricket is played with a red ball, unlike the white ODI ball."
,,,,12,Y,Colour of the specially coated ball used in day-night Test cricket,pink,Day-night Tests use a specially coated pink ball for visibility.
,,,,13,,Colour of the cap traditionally worn by Australia's Test captain,green,Australia's iconic Test cap is known as the 'baggy green'.
,,,,14,,"Colour of India's Test match cap, distinct from other nations'",blue,"India's Test cap is navy blue, distinct from other nations' caps."
,,,,15,,Colour glow of the electronic bails used to aid run-out decisions,red,"Zing bails glow red when dislodged, aiding run-out decisions."
,,,,16,Y,Colour of the boundary rope at most televised cricket grounds,yellow,Boundary ropes are typically painted or marked in bright yellow.
,,,,17,Y,"Zimbabwe's ODI cricket kit colour, most recognisably",red,Zimbabwe's ODI cricket kit is predominantly red.
,,,,18,,"West Indies' T20 International kit colour, unlike their maroon ODI shirt",black,"West Indies wear black for T20 Internationals, unlike their maroon ODI kit."
,,,,19,,"Netherlands' ODI cricket kit colour, matching their national identity",orange,"The Netherlands wear orange in ODIs, matching their national identity."
,,,,20,Y,Colour of the sightscreen commonly used behind the bowler at night,black,Day-night matches often use black sightscreens for the pink ball.
332,colour,Superhero Costume Colours,drag colours to answer each clue,1,,"Colour of the cape worn over Superman's costume, paired with a blue bodysuit",red,Superman's costume pairs a blue bodysuit with a red cape.
,,,,2,,Colour the Hulk's skin turns when Bruce Banner grows enraged,green,Bruce Banner transforms into the green-skinned Hulk when enraged.
,,,,3,,"Colour of Spider-Man's classic costume, alongside its red",blue,Spider-Man's classic suit combines red with blue.
,,,,4,Y,"Colour most associated with Batman's costume, sometimes with grey",black,"Batman's suit is almost always depicted in black, sometimes with grey."
,,,,5,,"Colour of The Flash's costume, trimmed with gold lightning bolts",red,The Flash wears a red suit with gold lightning bolt accents.
,,,,6,Y,"Colour of the ring wielded by DC's Hal Jordan, matching his costume",green,"Green Lantern Hal Jordan's ring and costume are both green, powered by willpower."
,,,,7,,"Colour of Wonder Woman's star-spangled skirt, alongside red and gold",blue,Wonder Woman's classic costume includes a blue star-spangled skirt.
,,,,8,,"Colour of Captain America's costume, alongside its red and white",blue,"Captain America's suit is based on the American flag's blue, red and white."
,,,,9,,Colour of the vibranium-weave costume worn by Wakanda's masked protector,black,"Black Panther's suit is a sleek, all-black vibranium-weave design."
,,,,10,,"Colour of Wolverine's classic X-Men costume, alongside blue",yellow,Wolverine's classic X-Men costume is yellow and blue.
,,,,11,Y,Colour of the flowing cape worn as part of Thor's costume,red,Thor's iconic costume includes a flowing red cape.
,,,,12,,"Colour making up most of Deadpool's costume, alongside black",red,Deadpool's suit is mostly red with black accents.
,,,,13,Y,"Colour of Aquaman's traditional comic-book costume, alongside green",orange,Aquaman's traditional comic costume is orange and green.
,,,,14,,"Colour of the Vision's synthetic skin, a Marvel android hero",red,"The Vision, a Marvel android, has distinctive red skin."
,,,,15,,"Colour She-Hulk's skin turns, sharing her cousin's transformation",green,She-Hulk shares the Hulk's green skin transformation.
,,,,16,,Colour making up most of Cyclops' optic-blast energy beams,red,Cyclops of the X-Men fires optic blasts described as red energy.
,,,,17,Y,Colour of Beast's fur in his most classic X-Men appearance,blue,Beast is most commonly depicted with blue fur.
,,,,18,,"Colour of Rogue's classic 90s X-Men costume, alongside green",yellow,Rogue's classic 90s X-Men costume is yellow and green.
,,,,19,Y,"Colour of Robin's cape, paired with a red tunic in his classic costume",yellow,The classic Robin costume pairs a red tunic with a yellow cape.
,,,,20,,Colour of the Human Torch's costume when Johnny Storm flames on,orange,The Human Torch's fiery form is depicted in bright orange flame.
333,colour,Martial Arts Belt Colours,drag colours to answer each clue,1,Y,"Karate belt colour typically earned just after white, a first grade",yellow,Yellow belt is usually the first grade earned after white in karate.
,,,,2,,Karate belt colour that typically comes right after yellow,orange,Orange belt commonly follows yellow in many karate grading systems.
,,,,3,Y,Karate belt colour that typically follows orange in grading,green,Green belt typically follows orange in standard karate grading.
,,,,4,Y,Karate belt colour that typically follows green in grading,blue,Blue belt commonly follows green in many karate systems.
,,,,5,Y,"Karate belt colour that follows blue, just before the advanced grades",purple,Purple belt often follows blue before the advanced grades.
,,,,6,Y,"Highest, most senior belt colour awarded in most martial arts",black,Black belt represents the highest standard grading in most martial arts.
,,,,7,,"Brazilian Jiu-Jitsu belt colour earned after white, the first adult grade",blue,Blue belt is the first coloured belt in adult Brazilian Jiu-Jitsu.
,,,,8,,Brazilian Jiu-Jitsu belt colour that comes right after blue,purple,Purple belt follows blue in the adult BJJ ranking system.
,,,,9,,Taekwondo belt colour typically earned just after white,yellow,Yellow belt commonly follows white in taekwondo grading.
,,,,10,,Belt colour paired with black for junior black-belt grades in some systems,red,Some systems use a red-and-black striped belt for junior black belt grades.
,,,,11,Y,"Belt colour awarded to some 10th-dan grandmasters, instead of black",red,Some styles award a red belt to grandmasters at the highest 10th-dan rank.
,,,,12,,Kickboxing belt colour that typically comes right after yellow,orange,Orange belt commonly follows yellow in kickboxing grading systems.
,,,,13,,Karate belt colour sitting between green and the most advanced grades,blue,Blue belt sits between green and the advanced purple and brown grades.
,,,,14,,"Judo belt colour typically earned after white, the first coloured grade",yellow,Yellow belt is commonly the first coloured grade after white in Judo.
,,,,15,,Judo belt colour that typically comes right after yellow,orange,Orange belt commonly follows yellow in the Judo kyu grading system.
,,,,16,,Kickboxing belt colour that typically follows orange in grading,green,Green belt commonly follows orange in many kickboxing systems.
,,,,17,,"Colour of the belt worn by senior 6th-8th dan judoka, panelled with white",red,6th-8th dan judoka may wear a distinctive red-and-white panelled belt.
,,,,18,,Colour of the belt worn by the most senior 9th-10th dan judoka,red,9th and 10th dan judo grades may wear a solid red belt.
,,,,19,,Taekwondo belt colour for the most advanced grade before black,red,Red belt commonly marks the most advanced coloured grade before black in taekwondo.
,,,,20,,Taekwondo belt colour that typically follows yellow in many federations,green,Green belt commonly follows yellow in many taekwondo grading systems.
334,colour,Sweet & Candy Wrapper Colours,drag colours to answer each clue,1,Y,"Wrapper colour of a Wham bar, the classic UK chew sweet",pink,The original Wham bar has a bright pink wrapper.
,,,,2,,Wrapper colour of the Starburst flavour shared with carrots and pumpkins,orange,The orange-flavoured sweet inside Starburst has an orange wrapper.
,,,,3,,Colour of the grape-flavoured sweet in a packet of Skittles,purple,Purple is the standard colour for grape-flavoured Skittles.
,,,,4,Y,Colour of the lemon-flavoured sweet in a packet of Skittles,yellow,Yellow is the standard colour for lemon-flavoured Skittles.
,,,,5,Y,Colour of the strawberry-flavoured sweet in a packet of Skittles,red,Red is the standard colour for strawberry-flavoured Skittles.
,,,,6,Y,Colour of the apple-flavoured sweet in a packet of Skittles,green,Green is the standard colour for green apple-flavoured Skittles.
,,,,7,,"Colour of a classic packet of Peanut M&M's, unlike the plain variety",yellow,Peanut M&M's have used a yellow packet for decades.
,,,,8,,Colour of a classic Cadbury Dairy Milk chocolate wrapper,purple,Cadbury's signature wrapper colour is a deep purple.
,,,,9,Y,"Colour of a classic Wispa bar's wrapper, matching Cadbury branding",purple,"Wispa's classic wrapper is purple, matching Cadbury's branding."
,,,,10,,"Colour of a classic Milkybar wrapper, reflecting the white chocolate inside",yellow,"Milkybar's wrapper is bright yellow, reflecting its white chocolate inside."
,,,,11,,Colour of a classic UK Refreshers chew sweet's roll-style wrapper,yellow,Classic Refreshers sweets are sold in a bright yellow roll wrapper.
,,,,12,,"Colour of a classic pale, flower-scented UK sweet, over a century old",purple,"Parma Violets are a pale purple, floral-flavoured sweet."
,,,,13,,"Colour of a classic UK aniseed-flavoured chew sweet, a Swizzels favourite",black,"Black Jacks are aniseed-flavoured chews, coloured black."
,,,,14,,Colour most associated with a classic UK Fruit Salad chew sweet,yellow,The classic Fruit Salad chew is most often yellow.
,,,,15,,"Colour of a classic UK Pear Drop sweet, shaped like its namesake fruit",green,"Pear Drops are traditionally a pale green, pear-shaped hard sweet."
,,,,16,Y,"Colour of a classic UK cola cube sweet, despite cola's darker shade",black,"Cola cubes are traditionally a dark, near-black brown colour."
,,,,17,,Colour of a classic Love Heart sweet's foil-wrapped tube packaging,purple,Swizzels Love Hearts are sold in a purple foil-wrapped tube.
,,,,18,,"Colour of a Refreshers chew bar's wrapper, matching the brand's rolls",yellow,The Refreshers chew bar uses the brand's signature bright yellow wrapper.
,,,,19,,Colour of a classic Sherbet Fountain's paper wrapper,yellow,A classic Sherbet Fountain comes wrapped in bright yellow paper.
,,,,20,,Colour most associated with classic bubblegum-flavoured sweet wrappers,pink,Classic bubblegum-flavoured sweets and gum are traditionally packaged in pink.
335,colour,Game Piece Colours,drag colours to answer each clue,1,,Colour of one player's marbles in a six-player Chinese Checkers set,blue,"A classic six-player set uses red, yellow, green, black, white and blue marbles."
,,,,2,Y,Colour of the peg marking a hit in a game of Battleship,red,Battleship pegs traditionally mark hits in red and misses in white.
,,,,3,,"Colour of one player's army in a two-player game of Stratego, facing red",blue,Classic Stratego is played with red and blue armies facing off.
,,,,4,,"Colour of the other set of Connect Four counters, played against red",yellow,"Connect Four's other colour of counters is yellow, alongside red."
,,,,5,,"Colour of one set of Connect Four counters, played against yellow",red,"Connect Four is played with red and yellow discs, dropped in turns."
,,,,6,Y,Trivial Pursuit wedge colour for the Geography category,blue,Trivial Pursuit's Geography category is represented by a blue wedge.
,,,,7,,Trivial Pursuit wedge colour for the Entertainment category,pink,Trivial Pursuit's Entertainment category is represented by a pink wedge.
,,,,8,Y,Trivial Pursuit wedge colour for the History category,yellow,Trivial Pursuit's History category is represented by a yellow wedge.
,,,,9,Y,"Trivial Pursuit wedge colour for Arts & Literature, in the original edition",purple,The original Trivial Pursuit uses a purple wedge for Arts & Literature.
,,,,10,Y,Trivial Pursuit wedge colour for the Science & Nature category,green,Trivial Pursuit's Science & Nature category is represented by a green wedge.
,,,,11,,Trivial Pursuit wedge colour for the Sports & Leisure category,orange,Trivial Pursuit's Sports & Leisure category is represented by an orange wedge.
,,,,12,,"Colour of a classic Risk army, alongside red, blue, green and yellow",black,Classic Risk sets include black as one of the six army colours.
,,,,13,,"Colour of a classic Risk army, alongside black, blue, green and yellow",purple,Classic Risk sets include purple as one of the six army colours.
,,,,14,Y,Colour of UNO's special Wild and Wild Draw Four cards,black,UNO's special Wild and Wild Draw Four cards are printed in black.
,,,,15,,"Colour of one classic Ludo token, alongside red, blue and yellow",green,"Classic Ludo sets commonly use red, blue, yellow and green player tokens."
,,,,16,,Colour of the piece set opposing black in a game of draughts,red,Draughts (checkers) is traditionally played with black pieces against red.
,,,,17,,Colour of the piece set opposing white in a traditional chess set,black,"Chess 'black' pieces are traditionally black, opposing the white side."
,,,,18,,Colour of one row of dots on a classic Twister mat,green,"Classic Twister mats have four rows of dots: red, blue, yellow and green."
,,,,19,,"Colour of one classic Sorry! token, alongside red, blue and yellow",green,"Classic Sorry! uses red, blue, yellow and green player pieces."
,,,,20,,Colour sometimes added as a sixth player option in Chinese Checkers,black,Some Chinese Checkers sets include black as a sixth player colour.
336,colour,London Rail Line Colours,drag colours to answer each clue,1,Y,Colour of the Central line on the London Underground map,red,The Central line is coloured red on the Tube map.
,,,,2,,Colour of the Circle line on the London Underground map,yellow,The Circle line is coloured yellow on the Tube map.
,,,,3,,Colour of the District line on the London Underground map,green,The District line is coloured green on the Tube map.
,,,,4,Y,Colour of the Hammersmith & City line on the Tube map,pink,The Hammersmith & City line is coloured pink on the Tube map.
,,,,5,Y,Colour of the Northern line on the London Underground map,black,The Northern line is coloured black on the Tube map.
,,,,6,,Colour of the Piccadilly line on the London Underground map,blue,The Piccadilly line is coloured (dark) blue on the Tube map.
,,,,7,,Colour of the Victoria line on the London Underground map,blue,The Victoria line is coloured (light) blue on the Tube map.
,,,,8,Y,Colour of the Elizabeth line on London's rail network map,purple,The Elizabeth line is coloured purple on the transport map.
,,,,9,,"Colour of the Lioness line, one of Overground's six named lines",yellow,"The Lioness line, part of London Overground, is coloured yellow."
,,,,10,,"Colour of the Mildmay line, one of Overground's six named lines",blue,"The Mildmay line, part of London Overground, is coloured blue."
,,,,11,,"Colour of the Windrush line, one of Overground's six named lines",red,"The Windrush line, part of London Overground, is coloured red."
,,,,12,Y,"Colour of the Suffragette line, one of Overground's six named lines",green,"The Suffragette line, part of London Overground, is coloured green."
,,,,13,,Overground line colour named after England's Euro-winning women's team,yellow,The Lioness line is named after England's Euro 2022-winning women's football team.
,,,,14,,Colour of the Overground line named after the Windrush generation,red,The Windrush line honours the Windrush generation of Caribbean migrants.
,,,,15,,Colour of the Overground line named after a historic Shoreditch hospital,blue,The Mildmay line is named after a small Shoreditch hospital.
,,,,16,,Colour of the Overground line named in honour of the suffragette movement,green,The Suffragette line honours the movement for women's votes.
,,,,17,,Colour London's Overground network used before its 2024 line rebrand,orange,London Overground was a single orange line before splitting into six named lines in 2024.
,,,,18,,Colour of the Underground line that runs in a loop around central London,yellow,"The Circle line forms a loop around central London, coloured yellow."
,,,,19,Y,Colour of the Underground line that serves Heathrow Airport,blue,"The Piccadilly line serves Heathrow Airport, coloured blue on the map, alongside the Elizabeth line."
,,,,20,,"Colour of London's newest railway line, opened to the public in 2022",purple,"The Elizabeth line, opened in 2022, is coloured purple on the map."
337,colour,Colour Idioms & Expressions,drag colours to answer each clue,1,,"Colour in the idiom for being furiously angry, 'seeing ___'",red,To be 'seeing red' means to be suddenly and furiously angry.
,,,,2,,"Colour in the idiom for feeling sad or down, 'feeling ___'",blue,To be 'feeling blue' means feeling sad or down.
,,,,3,Y,"Colour in the idiom for feeling jealous, '___ with envy'",green,To be '__ with envy' describes strong jealousy.
,,,,4,Y,"Colour in the idiom for cowardice, being '___-bellied'",yellow,Being 'yellow-bellied' is an old idiom for cowardice.
,,,,5,Y,"Colour in the idiom for being delighted, 'tickled ___'",pink,To be 'tickled pink' means to be delighted.
,,,,6,,"Colour in the idiom for a family's outsider or disgrace, the '___ sheep'",black,The 'black sheep' of the family is its outsider or disgrace.
,,,,7,,"Colour in the idiom for a spell of good luck, 'a ___ patch'",purple,'A purple patch' describes a spell of good form or luck.
,,,,8,,"Colour in the idiom for giving official approval, 'a ___ light'",green,Giving something 'a green light' means giving official approval.
,,,,9,Y,"Colour in the idiom warning of danger ahead, 'a ___ flag'",red,'A red flag' is an idiom for a clear warning sign.
,,,,10,,"Colour in the idiom for excessive bureaucracy, '___ tape'",red,'Red tape' describes excessive official rules and bureaucracy.
,,,,11,,"Colour in the idiom for a rare, once-in-a-while event, 'a ___ moon'",blue,'A blue moon' describes a rare or infrequent event.
,,,,12,,"Colour in the idiom for a sudden shock, 'a bolt from the ___'",blue,"'A bolt from the blue' describes a sudden, unexpected shock."
